video_id,views,likes,dislikes,comment_count
_ckccU8ojRg,1143364,16633,538,1129
_ckccU8ojRg,1245506,17996,557,1192
_ckccU8ojRg,1350556,19214,579,1280
_ckccU8ojRg,1450475,20356,606,1335
_ckccU8ojRg,1527599,21201,615,1398
_EvMYEfF_hQ,8951919,360339,6503,24248
_EvMYEfF_hQ,10311506,388862,7644,27036
_EvMYEfF_hQ,11307303,405859,8321,30726
_EvMYEfF_hQ,12087480,419216,8825,31446
_EvMYEfF_hQ,12667200,429398,9124,31121
_EvMYEfF_hQ,13025011,436454,9298,31464
_H1vcldAsP0,1175021,23954,1772,5461
_H1vcldAsP0,1581376,28789,2465,6676
_H1vcldAsP0,1752006,30721,2675,7258
_H1vcldAsP0,1840311,31902,2757,7683
_H1vcldAsP0,1899751,32657,2815,7876
_H1vcldAsP0,1966460,33576,2856,8068
_H1vcldAsP0,2025401,34335,2895,8145
_H1vcldAsP0,2069697,34932,2950,8242
_H1vcldAsP0,2106842,35410,2986,8469
_H1vcldAsP0,2139864,35834,3015,8549
_H1vcldAsP0,2171634,36185,3033,8604
_H1vcldAsP0,2200854,36494,3044,8631
_hMQe2U4c6w,3934084,219003,10255,15846
_hMQe2U4c6w,6165010,263302,13616,18348
_hMQe2U4c6w,7487183,286696,15272,19619
_hMQe2U4c6w,8592535,306788,16569,20681
_hMQe2U4c6w,9437149,319960,17437,21253
_hMQe2U4c6w,10221868,331794,18147,21728
_hMQe2U4c6w,12564924,363383,19985,23250
_hMQe2U4c6w,13418200,370750,20469,23500
_hMQe2U4c6w,14379569,378587,21059,23630
_hMQe2U4c6w,15448508,386549,21545,24064
_hMQe2U4c6w,16516169,393943,22043,24339
_hMQe2U4c6w,17301255,399302,22404,24612
_hMQe2U4c6w,18138094,406445,22793,24824
_hMQe2U4c6w,19011826,412264,23139,25040
_hMQe2U4c6w,19907370,417723,23452,25145
_hMQe2U4c6w,20572917,421401,23678,25292
_hMQe2U4c6w,21469026,427781,23680,25538
_hMQe2U4c6w,22249105,432462,23981,25747
_hMQe2U4c6w,22995211,437209,24262,25891
_hMQe2U4c6w,23743403,442418,24521,26094
_hMQe2U4c6w,24452335,446749,24759,26097
_hMQe2U4c6w,25027675,450130,24945,26261
_hMQe2U4c6w,25604293,453877,25189,26415
_hMQe2U4c6w,26383456,457611,25420,26620
_hMQe2U4c6w,26948672,460483,25574,26709
_hMQe2U4c6w,27549116,463655,25743,26846
_I_D_8Z4sJE,30686233,304506,10540,13903
_I_D_8Z4sJE,40567774,448369,16682,19908
_I_D_8Z4sJE,50896717,550476,20865,23512
_I_D_8Z4sJE,61163906,629163,23851,26762
_I_D_8Z4sJE,71415408,708544,27018,29152
_J7dEhYttbQ,1519406,63292,1485,7348
_J7dEhYttbQ,2422389,86941,2198,9927
_J7dEhYttbQ,2868482,99142,2621,11508
_J7dEhYttbQ,3169612,107873,2977,12417
_J7dEhYttbQ,3365999,113405,3252,13179
_J7dEhYttbQ,3466020,116623,3403,13814
_J7dEhYttbQ,3655519,122480,3697,14858
_J7dEhYttbQ,3866211,128361,4016,15747
_J7dEhYttbQ,3978383,133245,4413,16774
_J7dEhYttbQ,4236675,138559,4759,17847
_J7dEhYttbQ,4462979,143755,5201,18657
_J7dEhYttbQ,4586223,146446,5432,19061
_J7dEhYttbQ,4705302,148836,5741,19743
_J7dEhYttbQ,4783907,150387,5940,20046
_J7dEhYttbQ,4837368,151480,6087,20355
_J7dEhYttbQ,4871818,152188,6160,20559
_J7dEhYttbQ,4891169,152621,6206,20673
_J7dEhYttbQ,4910141,153092,6271,20756
_J7dEhYttbQ,4929536,153576,6339,20863
_J7dEhYttbQ,4960964,154124,6433,21016
_J7dEhYttbQ,4982356,154605,6479,21103
_J7dEhYttbQ,5004781,155134,6519,21162
_J7dEhYttbQ,5021985,155601,6550,21225
_J7dEhYttbQ,5041687,156124,6593,21326
_J7dEhYttbQ,5059327,156574,6626,21408
_J7dEhYttbQ,5068102,156760,6641,21452
_J7dEhYttbQ,5080349,157030,6658,21506
_J7dEhYttbQ,5095492,157386,6676,21550
_J7dEhYttbQ,5108430,157663,6688,21564
_J7dEhYttbQ,5115336,157799,6697,21599
_J7dEhYttbQ,5123814,157961,6707,21638
_KBc4B5JFoQ,7063044,159998,2726,3210
_KBc4B5JFoQ,7637958,165809,2856,3284
_KBc4B5JFoQ,8277727,172367,2999,3357
_KBc4B5JFoQ,8920022,178853,3154,3430
_KBc4B5JFoQ,9403656,183283,3250,3494
_KBc4B5JFoQ,10087758,191426,3463,3571
_KBc4B5JFoQ,10719588,197948,3651,3623
_KBc4B5JFoQ,11354807,203667,3815,3662
_KBc4B5JFoQ,11967760,208958,3987,3719
_KBc4B5JFoQ,12552855,214169,4131,3762
_KBc4B5JFoQ,13070960,218880,4254,3819
_KBc4B5JFoQ,13534188,222946,4388,3850
_KBc4B5JFoQ,14099024,226919,4499,3874
_KBc4B5JFoQ,14598418,231247,4611,3941
_KBc4B5JFoQ,15128526,235112,4724,3998
_KBc4B5JFoQ,15609036,238250,4829,4050
_KBc4B5JFoQ,16172682,241927,4936,4098
_KBc4B5JFoQ,16594060,244824,5028,4122
_KBc4B5JFoQ,16980280,247252,5111,4166
_KBc4B5JFoQ,17346686,249621,5182,4178
